"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","USA.IMLS","(U) ","Institute of Museum and Library Services",
"(U) ","USA.ITC","(U) ","United States International Trade Commission",
"(U) ","USA.JBEA","(U) ","Joint Board for the Enrollment of Actuaries",
"(U) ","USA.JFSP","(U) ","Joint Fire Science Program",
"(U) ","USA.JMMFF","(U) ","James Madison Memorial Fellowship Foundation",
"(U) ","USA.JUSFC","(U) ","Japan-United States Friendship Commission",
"(U) ","USA.JWFFSB","(U) ","J. William Fulbright Foreign Scholarship Board",
"(U) ","USA.LSC","(U) ","Legal Services Corporation",
"(U) ","USA.MBCC","(U) ","Migratory Bird Conservation Commission",
"(U) ","USA.MCC","(U) ","Millennium Challenge Corporation",
"(U) ","USA.MKUF","(U) ","Morris K. Udall Foundation: Scholarship and Excellence in National Environmental Policy",
"(U) ","USA.MMC","(U) ","Marine Mammal Commission",
"(U) ","USA.MRC","(U) ","Mississippi River Commission",
"(U) ","USA.MSPB","(U) ","Merit Systems Protection Board",
"(U) ","USA.NARA","(U) ","National Archives and Records Administration ",
"(U) ","USA.NASA","(U) ","National Aeronautics and Space Administration ",
"(U) ","USA.NBCFM","(U) ","National Bipartisan Commission on the Future of Medicare",
"(U) ","USA.NCD","(U) ","National Council on Disability",
"(U) ","USA.NCFRR","(U) ","National Commission on Fiscal Responsibility and Reform",
"(U) ","USA.NCPC","(U) ","National Capital Planning Commission",
"(U) ","USA.NCUA","(U) ","National Credit Union Administration ",
"(U) ","USA.NEA","(U) ","National Endowment for the Arts",
"(U) ","USA.NEH","(U) ","National Endowment for the Humanities",
"(U) ","USA.NGA","(U) ","National Geospatial-Intelligence Agency",
"(U) ","USA.NIGC","(U) ","National Indian Gaming Commission",
"(U) ","USA.NLRB","(U) ","National Labor Relations Board ",
"(U) ","USA.NMB","(U) ","National Mediation Board",
"(U) ","USA.NPF","(U) ","National Park Foundation",
"(U) ","USA.NPPC","(U) ","Northwest Power Planning Council",
"(U) ","USA.NRC","(U) ","Nuclear Regulatory Commission ",
"(U) ","USA.NRO","(U) ","National Reconnaissance Office",
"(U) ","USA.NSA","(U) ","National Security Agency",
"(U) ","USA.NSF","(U) ","National Science Foundation ",
"(U) ","USA.NTSB","(U) ","National Transportation Safety Board",
"(U) ","USA.NWTRB","(U) ","Nuclear Waste Technical Review Board",
"(U) ","USA.OGE","(U) ","Office of Government Ethics",
"(U) ","USA.OMB","(U) ","Office of Management and Budget",
"(U) ","USA.ONCIX","(U) ","Office of the National Counterintelligence Executive",
"(U) ","USA.OPIC","(U) ","Overseas Private Investment Corporation",
"(U) ","USA.OPM","(U) ","Office of Personnel Management",
"(U) ","USA.OSC","(U) ","Office of Special Counsel",
"(U) ","USA.OSHRC","(U) ","Occupational Safety and Health Review Commission",
"(U) ","USA.OVP","(U) ","Office of the Vice President",
"(U) ","USA.PBGC","(U) ","Pension Benefit Guaranty Corporation",
"(U) ","USA.PCC","(U) ","Panama Canal Commission",
"(U) ","USA.PEACE","(U) ","Peace Corps",
"(U) ","USA.PRC","(U) ","Postal Regulatory Commission",
"(U) ","USA.PRESIDIO","(U) ","Presidio Trust",
"(U) ","USA.RISC","(U) ","Regulatory Information Service Center",
"(U) ","USA.RRB","(U) ","Railroad Retirement Board",
"(U) ","USA.SBA","(U) ","Small Business Administration ",
"(U) ","USA.SEC","(U) ","Securities and Exchange Commission ",
"(U) ","USA.SJI","(U) ","State Justice Institute",
"(U) ","USA.SMITH","(U) ","Smithsonian Institution",
"(U) ","USA.SRBC","(U) ","Susquehanna River Basin Commission",
"(U) ","USA.SSA","(U) ","Social Security Administration ",
"(U) ","USA.SSAB","(U) ","Social Security Advisory Board",
"(U) ","USA.SSS","(U) ","Selective Service System",
"(U) ","USA.STATE","(U) ","Department of State ",
"(U) ","USA.TAP","(U) ","Taxpayer Advocacy Panel",
"(U) ","USA.TDA","(U) ","U.S. Trade and Development Agency",
"(U) ","USA.TREAS","(U) ","Department of the Treasury",
"(U) ","USA.TVA","(U) ","Tennessee Valley Authority",
"(U) ","USA.USA","(U) ","US Army",
"(U) ","USA.USAF","(U) ","US Air Force",
"(U) ","USA.USAID","(U) ","United States Agency for International Development",
"(U) ","USA.USAOC","(U) ","U.S. AbilityOne Commission",
"(U) ","USA.USCG","(U) ","US Coast Guard",
"(U) ","USA.USDA","(U) ","Department of Agriculture ",
"(U) ","USA.USIP","(U) ","United States Institute of Peace",
"(U) ","USA.USMC","(U) ","US Marine Corps",
"(U) ","USA.USN","(U) ","US Navy",
"(U) ","USA.USPS","(U) ","United States Postal Service ",
"(U) ","USA.USSF","(U) ","United States Space Force ",
"(U) ","USA.USTR","(U) ","United States Office of the Trade Representative",
"(U) ","USA.USUN","(U) ","United States Mission to the United Nations",
"(U) ","USA.VA","(U) ","Department of Veterans Affairs ",
"(U) ","USA.VDNC","(U) ","Veterans Day National Committee",
"(U) ","USA.VEF","(U) ","Vietnam Educational Foundation",
"(U) ","USA.WHCPS","(U) ","White House Commission on Presidential Scholars: Presidential Scholars Program",
"(U) ","USA.WHMO","(U) ","White House Military Office",

